"PublYearMonth","Company","CDU/CSU","SPD","GRUNE","FDP","LINKE","AfD","Uncertain","n","PublDate","collectPeriodFrom","collectPeriodTo","approxPeriod","house"
"2019-sep","Yougov",0.27,0.15,0.22,0.06,0.08,0.14,NA,1632,2019-09-11,2019-09-06,2019-09-10,FALSE,"Yougov"
"2019-sep","INSA",0.27,0.135,0.22,0.08,0.075,0.155,NA,2033,2019-09-10,2019-09-06,2019-09-09,FALSE,"INSA"
"2019-sep","Kantar(Emnid)",0.29,0.16,0.21,0.07,0.08,0.14,NA,1884,2019-09-07,2019-08-29,2019-09-04,FALSE,"Kantar(Emnid)"
"2019-sep","Forsa",0.27,0.15,0.23,0.08,0.06,0.13,0.2,2503,2019-09-07,2019-09-02,2019-09-06,FALSE,"Forsa"
"2019-sep","Forsch’gr.Wahlen",0.28,0.15,0.24,0.06,0.07,0.13,NA,1270,2019-09-05,2019-09-02,2019-09-04,FALSE,"Forsch’gr.Wahlen"
"2019-sep","Forsch’gr.Wahlen",0.29,0.19,0.27,0.06,0.06,0.09,0.14,NA,2019-09-05,NA,NA,FALSE,"Forsch’gr.Wahlen"
"2019-sep","Infratestdimap",0.27,0.14,0.23,0.07,0.07,0.15,NA,1514,2019-09-05,2019-09-03,2019-09-04,FALSE,"Infratestdimap"
"2019-sep","INSA",0.26,0.145,0.235,0.085,0.07,0.15,NA,2017,2019-09-02,2019-08-30,2019-09-02,FALSE,"INSA"
"2019-aug","Kantar(Emnid)",0.29,0.15,0.22,0.07,0.07,0.14,NA,1434,2019-08-31,2019-08-22,2019-08-28,FALSE,"Kantar(Emnid)"
"2019-aug","Forsa",0.27,0.15,0.23,0.09,0.07,0.12,0.19,2501,2019-08-31,2019-08-26,2019-08-30,FALSE,"Forsa"
"2019-aug","INSA",0.26,0.13,0.24,0.08,0.08,0.15,NA,2058,2019-08-26,2019-08-23,2019-08-26,FALSE,"INSA"
"2019-aug","Kantar(Emnid)",0.27,0.15,0.23,0.08,0.08,0.14,NA,1555,2019-08-24,2019-08-15,2019-08-21,FALSE,"Kantar(Emnid)"
"2019-aug","Forsa",0.26,0.14,0.23,0.09,0.08,0.13,0.21,2504,2019-08-24,2019-08-19,2019-08-23,FALSE,"Forsa"
"2019-aug","Infratestdimap",0.26,0.14,0.25,0.07,0.07,0.14,NA,1063,2019-08-22,2019-08-20,2019-08-21,FALSE,"Infratestdimap"
"2019-aug","Allensbach",0.295,0.135,0.24,0.07,0.08,0.125,NA,1262,2019-08-21,2019-08-02,2019-08-15,FALSE,"Allensbach"
"2019-aug","INSA",0.265,0.13,0.245,0.09,0.08,0.145,NA,2056,2019-08-20,2019-08-16,2019-08-19,FALSE,"INSA"
"2019-aug","Kantar(Emnid)",0.27,0.14,0.22,0.08,0.09,0.14,NA,1897,2019-08-17,2019-08-08,2019-08-14,FALSE,"Kantar(Emnid)"
"2019-aug","Forsa",0.25,0.13,0.24,0.09,0.08,0.13,0.23,2501,2019-08-17,2019-08-12,2019-08-16,FALSE,"Forsa"
"2019-aug","INSA",0.275,0.12,0.235,0.09,0.08,0.145,NA,2060,2019-08-13,2019-08-09,2019-08-11,FALSE,"INSA"
